Country,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Dominican Republic,DOM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.95041463,68.42221951,68.83712195,69.19063415,69.48326829,69.7205122,69.91634146,70.09173171,70.26365854,70.44214634,70.63373171,70.83892683,71.05180488,71.26682927,71.48353659,71.70039024,71.91582927,72.12885366,72.33836585,72.54439024,72.74487805,72.94134146,73.13529268,73.3272439,73.51619512,73.70368293,,
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.69302439,66.955,67.20065854,67.46060976,67.75536585,68.09836585,68.49102439,68.91470732,69.35731707,69.81429268,70.28568293,70.77202439,71.27039024,71.77431707,72.27582927,72.76141463,73.21956098,73.64270732,74.02531707,74.36785366,74.66978049,74.93756098,75.18119512,75.41217073,75.63502439,75.85529268,,
East Asia & Pacific (excluding high income),EAP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.11578977,68.29662015,68.4725263,68.65180253,68.84120727,69.05324829,69.29920442,69.58074132,69.89600888,70.24031714,70.60518589,70.9794859,71.34890817,71.70133477,72.03046105,72.33093737,72.60227707,72.84951298,73.0791793,73.29302018,73.49142801,73.67786798,73.85301007,74.02096864,74.18315026,74.34183078,,
Early-demographic dividend,EAR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.60637794,61.03442227,61.46235919,61.89042382,62.31003431,62.71538435,63.10402764,63.47222181,63.82330163,64.1605838,64.48632873,64.80645448,65.12485909,65.4486726,65.78092766,66.12373922,66.48080127,66.84743896,67.22026197,67.59412376,67.96134772,68.31537718,68.6518555,68.96753962,69.25956118,69.52779013,,
East Asia & Pacific,EAS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.12473569,69.31499036,69.47818442,69.65718925,69.85754964,70.03843242,70.31463412,70.59491886,70.88988671,71.21479122,71.58823191,71.9586512,72.3114633,72.64714063,72.97226476,73.24534325,73.52981308,73.77415388,73.9964901,74.22364835,74.40240092,74.56343354,74.75706322,74.93611876,75.10255302,75.25604166,,
Europe & Central Asia (excluding high income),ECA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.28254058,68.04072926,67.39843073,66.55607951,66.31737217,66.37251874,66.86327282,67.46454968,67.79277136,67.65326145,67.70962707,67.89474142,67.91869714,68.04772231,68.37862056,68.51023381,69.13089943,69.63226537,69.9237441,70.5178809,70.81947315,71.38026786,71.70260198,72.09297156,72.29512938,72.46689195,,
Europe & Central Asia,ECS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.07005811,71.98034663,71.91104473,71.59384533,71.66236491,71.76142325,72.14795516,72.55454967,72.86176742,72.9114291,73.06551171,73.34110523,73.42830099,73.53952199,73.97261847,74.13432567,74.62863946,74.98461502,75.24121523,75.63329431,75.92165795,76.43333756,76.57856007,76.89108021,77.20707533,77.3948729,,
Ecuador,ECU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.99536585,69.49326829,69.96358537,70.40882927,70.82904878,71.22682927,71.60473171,71.96431707,72.30814634,72.6352439,72.94417073,73.23043902,73.492,73.72780488,73.94231707,74.13846341,74.32073171,74.49656098,74.67039024,74.84868293,75.03339024,75.2294878,75.43297561,75.64339024,75.85973171,76.0815122,,
Egypt,EGY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.54958537,64.95585366,65.37014634,65.81095122,66.27880488,66.76068293,67.23209756,67.66407317,68.03609756,68.34368293,68.58831707,68.78302439,68.94826829,69.10407317,69.26041463,69.42434146,69.59834146,69.77943902,69.96309756,70.15078049,70.34141463,70.53490244,70.72819512,70.9202439,71.10956098,71.29565854,,
Euro area,EMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.91135472,76.0249673,76.37998653,76.48663006,76.79491752,76.95558286,77.21810915,77.58125395,77.79683219,78.02088693,78.2747802,78.5969981,78.68434716,78.70705859,79.27857754,79.4261586,79.85600402,80.09975244,80.3027801,80.50339184,80.74663191,81.23265042,81.22695026,81.51281991,81.9348744,82.07022116,,
